Date	Headline	Summary
2018-11-08	Google Overhauls Sexual Misconduct Policy After Employee Walkout	A week after 20,000 employees around the globe staged a walkout over the handling of sexual harassment and assault cases, Google said it was altering some of its policies.
2018-11-08	After Paying Off Men Accused of Sexual Harassment	" Google Says It Will Meet Many of the Protesters’ Demands"",The company will announce today that it is finally taking these issues seriously. "
2018-11-08	Sundar Pichai of Google: ‘Technology Doesn’t Solve Humanity’s Problems’	Growing up in India, he slept on the floor of a house without a refrigerator. Today, the chief executive is steering Google through the most turbulent period in its history. 
2018-11-08	Google Is Said to Be Shopping for More Real Estate in New York	Amazon appears to be leaning toward opening a new office in New York. Now word comes that Google, already a big employer in the city, may add on.
2018-11-07	Why the Google Walkout Was a Watershed Moment in Tech	Outsiders have little leverage to force the industry to change. The companies’ own workers are another matter.
2018-11-07	You Already Email Like a Robot — Why Not Automate It?	Google is helping relieve the knowledge workers of the world from the drudgery of email — by revealing how inhuman it was in the first place.
2018-11-06	Google Workers Reject Silicon Valley Individualism in Walkout	Last week’s protest could be a sign that highly-paid workers are losing patience with the technology industry’s worldview and embracing collective action.
2018-11-05	Artificial Intelligence Hits the Barrier of Meaning	Machine learning algorithms don’t yet understand things the way humans do — with sometimes disastrous consequences. 
2018-11-03	From Barra to Murdoch to Thiel: Highlights From DealBook’s Conference	America’s most important business leaders provided insights on how to navigate the challenges ahead.
2018-11-02	Senior Google Lobbyist Is Stepping Down From Her Role	Susan Molinari, who leads Google’s federal lobbying and policy efforts, is leaving her role amid growing scrutiny of the Silicon Valley giant.
2018-11-01	Google Employees Stage Worldwide Walkout	Workers are protesting the company’s handling of sexual harassment. The walkouts followed a New York Times report that the tech giant paid millions of dollars in exit packages to male executives accused of harassment.
2018-11-01	Mystery of the Midterm Elections: Where Are the Russians?	Nefarious activity by known or suspected hackers seems low this year. But that might not be good news and could spell trouble even after Tuesday’s vote.
2018-11-01	Google Walkout: Employees Stage Protest Over Handling of Sexual Harassment	Workers in the company’s offices around the world protested how it has handled cases of sexual harassment and misconduct.
2018-11-01	DealBook Conference Live Updates: Google C.E.O.’s Mea Culpa	America’s most important business leaders provide insights on how to navigate the challenges ahead, including when accusations of misconduct results in backlashes inside companies.
2018-10-31	Google Faces Internal Backlash Over Handling of Sexual Harassment	Workers are up in arms over how the company treated accused executives, another sign of growing employee activism at the Silicon Valley behemoth.
2018-10-31	Supreme Court Weighs Google Settlement That Paid Class Members Nothing	In a lively argument, the justices considered internet privacy and whether payments to charities are a good way to settle class actions.
2018-10-31	Tech Drove Stocks Skyward. It Was a Different Story on the Way Down.	Large technology companies, and the big profits they produce, lifted the markets earlier this year. But during October’s tumble they were only part of a broad-based downturn. 
2018-10-31	The Problems With Britain’s New Digital Tax	The levy is a first step toward tackling how big tech companies move revenue and costs between jurisdictions, but it may not be aggressive enough.
2018-10-31	Alphabet Executive Resigns After Harassment Accusation	An Alphabet spokeswoman said Mr. DeVaul, who had been accused of harassing a job applicant, received no exit package.
2018-10-30	Your Kid’s Apps Are Crammed With Ads	In a new study of the most downloaded apps for children ages 5 and younger, researchers found advertising in almost all of them.
2018-10-26	Google Workers Fume Over Executives’ Payouts After Sexual Harassment Claims	Employees protested in meetings, on message boards and on Twitter about the company’s treatment of senior leaders even after finding misconduct claims against them credible.
2018-10-26	Silicon Valley Can’t Escape the Business of War	Many in the tech industry don’t want to be part of the military-industrial complex. But defense work is already part of Silicon Valley’s DNA.
2018-10-26	The Week in Tech: Apple Goes on the Attack	Apple’s C.E.O. slammed his Silicon Valley peers for building a “data industrial complex” but his speech requires context.
